key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,34,35,36
#,Name,Bg,,PlaceName{Region},PlaceName{Zone},PlaceName,Map,LoadingImage,,TerritoryIntendedUse,,,WeatherRate,,,,,,,,PlaceName{Region}Icon,PlaceNameIcon,ArrayEventHandler,QuestBattle,Aetheryte,,,,IsPvpZone,,,,,,,,,
int32,str,str,byte,PlaceName,PlaceName,PlaceName,Map,LoadingImage,byte,byte,uint16,bit&01,byte,bit&02,byte,bit&04,bit&08,bit&10,bit&20,uint16,Image,Image,ArrayEventHandler,QuestBattle,Aetheryte,int32,uint16,sbyte,bit&40,byte,byte,byte,byte,bit&80,bit&01,byte,bit&01,bit&02
1,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
2,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
3,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
4,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
5,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
6,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
7,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
8,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
9,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
10,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
11,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
13,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
14,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
15,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
16,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
17,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
18,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
19,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
20,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
21,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
22,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
24,,,0,,,,,LoadingImage#0,0,0,0,FALSE,0,FALSE,0,FALSE,FALSE,FALSE,FALSE,0,,,,QuestBattle#0,,0,0,0,FALSE,0,0,0,0,FALSE,FALSE,0,FALSE,FALSE
